latitude,longitude,count,zip
21.290612,-157.788328,2,96816
60.360218,-151.017768,1,99669
61.163643,-149.996609,1,99502
44.577285,-124.053577,1,97366
46.171919,-123.951838,1,97121
46.394046,-123.761307,1,98638
45.211928,-123.282159,1,97128
44.105501,-123.133112,1,97404
45.006596,-123.111691,1,97304
45.030348,-123.023687,1,97303
45.324219,-122.98733,1,97132
38.398815,-122.861923,1,95472
45.517015,-122.859822,2,97006
38.528079,-122.821349,1,95492
42.193618,-122.817754,1,97540
38.449137,-122.793752,1,95401
38.234553,-122.760385,1,94952
38.34642,-122.694127,1,94928
38.437114,-122.665993,1,95405
45.482741,-122.644441,1,97202
38.112166,-122.634384,1,94947
47.296947,-122.623661,2,98335
45.538194,-122.600014,1,97213
37.945512,-122.56012,1,94904
38.235021,-122.557332,1,94954
38.022366,-122.555605,1,94903
47.251761,-122.536065,1,98465
38.134068,-122.52719,1,94945
47.290365,-122.517747,1,98407
45.630556,-122.514839,2,98684
45.603287,-122.51017,1,98683
48.754092,-122.508129,1,98225
37.776769,-122.494707,4,94121
45.673213,-122.481749,1,98682
47.210957,-122.481577,2,98409
37.606593,-122.477228,1,94044
40.600342,-122.455016,3,96001
37.720375,-122.44295,1,94112
45.50923,-122.433565,1,97030
37.750021,-122.415201,1,94110
47.573933,-122.400175,1,98116
47.060959,-122.394221,1,98387
45.642226,-122.37998,1,98607
47.802344,-122.374193,1,98020
37.57028,-122.365778,1,94010
47.840794,-122.332985,1,98026
47.145083,-122.324153,1,98373
48.216792,-122.31439,1,98292
37.538449,-122.305447,1,94403
47.839227,-122.285468,1,98037
47.659861,-122.284977,2,98105
47.685746,-122.281589,1,98115
37.773797,-122.278123,1,94501
37.496461,-122.272556,1,94070
47.540246,-122.268545,1,98118
47.901362,-122.260891,2,98204
47.391942,-122.257192,1,98032
37.791887,-122.245334,2,94606
48.089968,-122.237681,1,98271
40.751937,-122.230678,1,96003
47.792523,-122.208216,1,98021
47.618337,-122.205341,1,98004
47.446982,-122.201521,1,98055
47.368522,-122.197976,1,98030
47.675982,-122.193578,1,98033
37.879921,-122.184572,1,94563
47.614533,-122.168798,1,98005
45.388788,-122.155174,1,97055
47.557627,-122.151005,1,98006
47.613825,-122.144365,2,98007
38.098071,-122.13594,1,94510
37.675731,-122.133017,1,94580
37.415727,-122.130765,1,94306
37.605905,-122.126873,1,94545
47.68099,-122.120531,3,98052
37.548123,-122.098635,1,94555
37.380566,-122.085286,1,94040
37.30661,-122.080628,1,95014
37.954141,-122.076124,2,94523
37.918195,-122.071676,1,94597
47.622542,-122.04421,2,98074
37.889079,-122.03756,2,94596
37.351528,-122.036962,1,94087
37.950359,-122.022034,3,94518
37.603156,-122.018638,1,94587
47.669312,-122.010131,1,98053
37.814613,-121.990552,1,94526
37.277121,-121.986133,1,95130
37.570508,-121.98125,1,94536
37.39349,-121.964672,1,95054
37.505768,-121.962472,1,94538
37.278563,-121.955101,1,95008
37.315976,-121.936313,4,95128
38.282221,-121.924715,1,94535
37.890221,-121.878359,1,94517
37.443638,-121.874953,3,95035
37.270058,-121.851333,1,95136
37.244238,-121.831604,1,95123
37.996501,-121.812301,4,94509
38.412615,-121.756222,2,95620
37.424655,-121.74841,3,95132
39.016059,-121.598994,1,95991
37.018419,-121.554249,2,95020
38.494832,-121.529447,1,95831
38.619049,-121.517552,1,95833
38.051726,-121.483036,1,95219
38.571577,-121.466465,1,95816
38.427813,-121.444696,2,95758
38.543754,-121.377692,1,95826
38.584047,-121.375846,1,95864
38.62415,-121.324911,1,95608
38.427651,-121.315627,1,95624
38.695704,-121.308303,1,95621
38.604268,-121.280327,1,95670
38.741074,-121.247693,2,95661
38.791075,-121.234854,1,95677
44.000626,-121.233816,2,97702
38.049939,-121.23297,1,95212
44.283326,-121.216724,1,97756
37.671978,-121.007405,1,95350
37.623601,-120.996324,1,95351
38.612129,-120.964522,1,95682
47.783145,-120.843168,1,98826
38.734925,-120.789952,1,95667
35.296964,-120.733137,2,93405
46.615206,-120.724113,1,98908
35.23575,-120.615973,3,93401
37.984549,-120.349264,1,95370
47.423594,-120.336633,1,98801
39.24158,-119.934182,1,89451
36.29227,-119.829463,3,93245
39.712124,-119.820815,1,89506
39.55587,-119.800887,1,89512
34.449656,-119.761971,1,93110
36.862209,-119.760793,1,93720
39.540398,-119.749111,2,89431
39.604161,-119.689298,1,89436
39.541317,-119.650155,1,89434
36.29223,-119.622676,1,93230
33.255655,-119.503588,1,93042
35.393866,-119.244846,1,93314
34.283668,-119.223196,1,93003
34.402343,-119.094824,1,93060
35.16319,-119.046322,2,93313
35.24512,-118.9411,2,93307
34.212798,-118.882175,1,91360
34.193329,-118.818678,1,91362
35.621087,-118.789677,1,93308
35.468183,-118.779649,1,93306
34.258272,-118.774661,1,93065
34.123286,-118.758541,1,91301
34.12331,-118.671028,2,91302
34.200833,-118.6649,1,91307
34.439741,-118.634816,1,91355
34.153733,-118.593408,3,91364
34.281486,-118.556005,1,91326
34.465755,-118.553789,1,91354
34.195685,-118.490752,1,91406
34.237912,-118.482306,1,91343
34.147149,-118.463365,1,91403
34.178522,-118.459234,1,91411
34.199824,-118.447609,1,91405
34.04536,-118.445818,2,90025
34.222506,-118.444689,5,91402
34.286689,-118.435078,1,91340
34.148617,-118.433298,1,91423
34.178483,-118.431791,1,91401
34.10263,-118.415972,1,90210
34.207295,-118.400022,1,91605
34.326674,-118.382262,2,91342
33.873214,-118.370359,1,90278
34.74739,-118.369249,2,93536
33.753146,-118.367459,2,90275
33.956526,-118.358653,1,90301
33.840399,-118.353714,1,90503
34.173885,-118.346937,2,91505
34.049841,-118.33846,1,90019
34.261962,-118.336078,1,91040
34.204568,-118.326365,1,91504
34.028133,-118.284828,1,90007
34.045405,-118.240454,1,90013
34.137412,-118.207607,2,90041
33.970343,-118.171368,1,90201
34.13946,-118.166649,1,91105
33.887821,-118.12725,2,90706
34.408383,-118.123597,1,93550
33.823943,-118.111335,2,90808
34.090776,-118.095091,1,91776
34.156397,-118.085873,1,91107
33.795012,-118.062692,1,90720
33.723228,-118.008692,2,92647
33.999005,-117.972146,1,91745
33.808271,-117.923655,1,92802
33.678399,-117.911715,1,92626
33.830209,-117.906109,1,92805
33.974883,-117.900676,2,91748
33.879767,-117.89634,2,92831
34.061634,-117.893169,1,91791
33.709935,-117.870431,1,92707
34.080444,-117.854733,1,91724
34.110186,-117.81039,1,91773
33.848733,-117.788357,1,92807
34.042286,-117.756106,1,91766
33.712629,-117.751372,1,92620
33.963746,-117.738491,1,91709
33.667145,-117.732135,1,92618
33.576205,-117.730364,2,92656
33.885514,-117.730164,1,92887
34.004473,-117.684702,2,91710
35.606509,-117.683472,1,93555
34.105281,-117.662035,2,91786
33.840451,-117.601961,1,92882
34.137563,-117.599944,1,91701
34.152583,-117.577707,1,91737
33.882879,-117.5269,2,92879
34.085957,-117.465136,1,92335
34.147718,-117.464506,1,92336
34.480247,-117.408186,1,92392
47.628641,-117.402997,1,99203
33.99504,-117.373184,1,92501
33.891132,-117.32675,1,92508
33.144219,-117.319439,1,92008
34.374627,-117.300435,1,92345
33.201242,-117.296984,2,92056
33.19784,-117.248203,1,92083
33.923386,-117.244825,1,92553
33.09532,-117.243796,1,92009
47.685677,-117.218458,1,99216
32.945791,-117.214366,4,92130
33.82931,-117.205481,1,92571
32.824567,-117.199521,1,92117
33.708976,-117.198846,1,92586
34.12738,-117.183148,1,92346
33.170778,-117.158674,1,92069
32.741501,-117.127948,3,92104
33.535276,-117.104785,1,92591
33.102005,-117.08042,2,92025
32.794714,-117.071764,1,92120
32.637898,-117.057991,1,91910
33.511218,-117.042388,2,92592
32.852358,-116.987842,1,92071
32.79551,-116.969721,1,92020
46.210115,-116.928725,2,83501
34.237229,-116.827695,1,92386
34.185894,-116.432416,5,92284
33.692193,-116.34123,1,92210
43.732675,-116.288433,1,83714
43.561591,-116.214892,1,83705
43.591127,-116.19436,2,83706
34.229973,-116.055053,1,92278
43.049579,-115.866402,1,83648
36.233315,-115.29015,1,89129
36.07738,-115.213966,2,89118
36.035207,-115.148777,1,89123
36.081322,-115.095454,1,89120
36.036566,-115.080923,1,89074
36.061711,-115.058058,1,89014
35.986732,-114.808625,1,89005
42.570448,-114.613167,5,83328
42.400555,-114.524876,5,83301
37.048309,-113.558054,1,84790
37.590013,-113.187631,1,84720
33.640996,-112.37833,1,85374
