id,count,latitude,longitude
1,1,33.6695,-117.8231
2,1,32.9482,-96.7297
3,1,33.7453,-84.3829
4,1,52.8667,9.6
5,1,-33.45,-70.6667
6,1,42.0076,-87.6956
7,1,41.3598,-80.7148
8,1,35,105
9,1,33.0198,-96.6989
10,1,53.3333,-2.75
11,1,34.1359,-118.2632
12,4,51,9
13,1,32.9482,-96.7297
14,24,51,9
15,35,51,9
16,1,38,-97
17,1,26.4867,-81.8621
18,1,13.754,100.5014
19,3,42.2138,-91.8897
20,1,39.9289,116.3883
21,1,32.746,-96.9978
22,1,40.6166,-74.0124
23,1,32.7254,-97.3208
24,1,52.5,5.75
25,1,59.8944,30.2642
26,1,32.9478,-96.8915
27,1,44.9493,-93.3363
28,1,32.7831,-96.8067
29,1,32.6606,-97.0249
30,1,32.8343,-97.2289
31,1,34.3661,-117.3205
32,1,48.9856,2.3474
33,1,37.7749,-122.4194
34,1,32.4388,-89.9648
35,1,41.3069,-96.1064
36,1,53.5,-2.2167
37,1,30.2241,-92.0198
38,1,24.6537,46.7152
39,1,35.1678,-106.3656
40,1,38.3992,-90.5566
41,1,43.0761,-89.4104
42,1,45.0102,-93.3428
43,1,30.4998,-97.8082
44,1,42.6875,-83.2341
45,2,54,-2
46,1,29.7355,-94.9774
47,1,25.0392,121.525
48,1,55.7522,37.6156
49,1,42.1988,-121.4061
50,1,29.9547,-90.0751
51,1,52.4167,16.9667
52,1,32.9579,-96.6236
53,1,32.7254,-97.3208
54,1,30.384,-97.7073
55,1,32.7831,-96.8067
56,1,32.9482,-96.7297
57,1,38,-97
58,1,49,32
59,6,59.8944,30.2642
60,1,49.2587,24.6278
61,1,39.9289,116.3883
62,1,34.0438,-118.2512
63,1,33.4484,-112.074
64,1,54,-2
65,1,-33.8615,151.2055
66,2,36.0937,-96.9875
67,1,32.6323,-96.9125
68,1,43.1157,-87.9934
69,1,32.7528,-96.8383
70,1,31.0982,-97.3428
71,1,38,-97
72,2,38,-97
73,1,54,-2
74,1,39.5349,-119.7527
75,1,30.2058,-97.8002
76,1,35.4832,-78.6798
77,6,31.5,34.75
78,1,35.4676,-97.5164
79,1,38,-97
80,1,32.2217,-110.9265
81,1,33.1976,-96.6153
82,1,38,-97
83,1,55.6772,37.8932
84,1,37.2153,-93.2982
85,1,38,-97
86,1,43.6667,-79.4167
87,1,32.8659,-97.2176
88,1,41.7859,-88.1473
89,1,26.7147,112.3839
90,1,32.738,-96.4463
91,1,32.6746,-95.4217
92,1,29.9878,-95.655
93,1,40.4406,-79.9959
94,1,33.9829,-84.3242
95,1,35.4807,-97.5367
96,4,47.0056,28.8575
97,1,30.5801,114.2734
98,1,38.9641,-95.8392
99,1,32.8688,-80.04
100,1,23.1167,113.25
101,4,32.5702,-97.1313
102,1,30.2672,-97.7431
103,1,40.9987,-74.1645
104,1,42.2654,-83.208
105,1,30.2672,-97.7431
106,1,32.7153,-117.1573
107,1,32.835,-95.423
108,2,52.5167,13.4
109,1,55.7522,37.6156
110,1,31.2163,-81.3666
111,1,55,73.4
112,1,26.1976,-97.7405
113,1,-37.8139,144.9634
114,1,30.1406,-97.3275
115,16,48.5813,25.6599
116,1,53.55,10
117,1,30.2961,-97.7369
118,1,44.9023,-123.0662
119,1,55.7522,37.6156
120,1,29.5616,-98.227
121,1,38,-97
122,1,32.9516,-97.1515
123,1,29.6569,-98.5107
124,1,39.0182,-77.2086
125,1,43.6135,-116.2035
126,1,37.3477,-77.3407
127,1,32.7831,-96.8067
128,1,37.1305,-121.6544
129,1,38,-97
130,1,41.0887,-74.1438
131,1,30.2961,-97.7369
132,1,39.7388,-104.4083
133,1,35.759,-84.1176
134,1,32.7831,-96.8067
135,1,45.4167,-75.7
136,1,32.9513,-96.7154
137,1,33.1801,-96.498
138,1,38,-97
139,1,13.7086,-89.2031
140,1,37.8216,-122
141,1,42.8365,-71.0948
142,1,52.2667,8.05
143,7,51,9
144,1,33.0294,-97.0687
145,1,41.3306,-74.1868
146,1,48.4648,-122.6092
147,1,45.5,-73.5833
148,2,51,9
149,1,39.7294,-104.8319
150,1,40.8172,-81.4385
151,1,54.0667,-2.8333
152,1,33.5846,-88.414
153,1,45.4962,-122.8019
154,2,32.7831,-96.8067
155,1,45.6103,-122.7455
156,1,13.754,100.5014
157,1,43.2167,27.9167
158,1,31.7828,-97.1016
159,1,55.7333,24.35
160,3,37.2276,-121.99
161,1,54,-2
162,1,37.2153,-93.2982
163,1,35.2226,-97.4395
164,1,32.7831,-96.8067
165,1,12.9833,77.5833
166,1,38,-97
167,1,34.1189,-117.8507
168,1,33.7612,-89.9759
169,1,-20.15,-44.9
