latitude,longitude,count
-14.2393,-170.7221,1
24.8598,-168.0218,1
21.4116,-158.0183,1
21.3867,-158.0092,1
21.4701,-157.9637,1
21.2967,-157.8498,1
21.3209,-157.8389,1
21.4539,-157.8299,3
21.3136,-157.8057,1
21.4003,-157.752,1
71.285,-156.7819,1
20.7615,-156.1103,1
19.6976,-155.1413,1
61.2181,-149.9003,1
61.1886,-149.8878,1
61.2231,-149.8528,1
61.2149,-149.2583,1
64.9006,-148.1613,1
49.2333,-124.8,2
40.7177,-124.1147,1
44.4268,-124.0687,1
41.6731,-123.9455,1
49.15,-123.9167,5
39.4457,-123.8053,1
49.4667,-123.7667,1
39.4797,-123.6391,1
48.4333,-123.35,5
44.923,-123.3436,1
44.5642,-123.279,4
44.0486,-123.2197,1
44.8314,-123.2034,1
45.2101,-123.1987,5
49.25,-123.1333,11
44.6365,-123.1059,2
44.8419,-123.0886,2
44.0521,-123.0867,4
43.9292,-123.0867,1
44.069,-123.0825,2
49.3167,-123.0667,2
44.9023,-123.0662,2
46.1933,-123.0548,1
44.0364,-123.0547,1
46.9445,-123.0493,1
44.9429,-123.0351,1
44.058,-123.0063,3
45.3234,-122.982,1
49.1667,-122.9667,1
45.4443,-122.9663,1
49.25,-122.95,6
44.9016,-122.9223,2
49.2167,-122.9167,3
45.5848,-122.9117,2
47.0379,-122.9007,3
45.7543,-122.8776,1
42.3265,-122.8756,3
46.9778,-122.8716,2
45.5222,-122.8593,1
49.1364,-122.8213,5
45.5534,-122.8192,5
44.5253,-122.8178,1
38.5471,-122.8164,1
45.8944,-122.8138,1
38.5369,-122.8123,1
45.4871,-122.8037,1
45.4962,-122.8019,2
42.3393,-122.7987,1
49.2667,-122.7833,1
45.498,-122.7784,4
38.2184,-122.7676,2
44.6864,-122.7666,1
45.384,-122.764,1
38.3928,-122.7507,1
45.6103,-122.7455,1
45.5508,-122.7377,3
38.8221,-122.7231,1
38.4405,-122.7144,2
38.3433,-122.7041,1
45.7083,-122.6948,1
45.5073,-122.6932,1
45.2629,-122.6926,1
38.4578,-122.6853,1
45.5332,-122.6827,1
45.5171,-122.6802,1
45.5234,-122.6762,9
45.216,-122.6667,1
45.6535,-122.6636,1
45.6387,-122.6615,8
45.6713,-122.6604,2
49.1,-122.65,4
45.5144,-122.6433,2
45.5295,-122.6432,10
45.4763,-122.6408,2
47.6322,-122.6376,1
45.6447,-122.6298,1
45.4023,-122.6147,1
48.4648,-122.6092,1
45.4818,-122.6005,1
47.5459,-122.5889,1
37.9922,-122.5814,1
47.3293,-122.5801,3
45.4076,-122.5704,1
38.1074,-122.5697,1
38.1348,-122.561,4
45.4691,-122.5535,2
45.7329,-122.5465,2
37.9735,-122.5311,1
45.3218,-122.5231,1
45.63,-122.5199,1
37.9257,-122.5127,1
47.2608,-122.5105,2
37.9719,-122.5023,1
45.5479,-122.5015,1
49.25,-122.5,1
45.4133,-122.4992,1
45.5154,-122.498,1
37.7772,-122.4931,10
37.8914,-122.4728,1
47.2481,-122.4726,1
45.6741,-122.4715,1
37.7811,-122.4625,1
38.2433,-122.4602,2
37.601,-122.4545,1
48.9465,-122.4521,1
37.7691,-122.4449,1
37.7217,-122.4444,1
47.2529,-122.4443,2
47.2626,-122.4413,1
37.7587,-122.4381,1
37.7862,-122.4371,1
37.6228,-122.4364,2
47.104,-122.4346,1
37.6534,-122.4231,2
37.7957,-122.4209,3
37.7749,-122.4194,23
37.7484,-122.4156,1
37.7758,-122.4128,1
37.4436,-122.4124,1
37.8033,-122.4108,1
48.7982,-122.4098,1
47.6514,-122.4078,2
37.6547,-122.4077,6
37.7909,-122.4017,8
37.7989,-122.3984,1
37.7898,-122.3942,1
37.7697,-122.3933,1
40.5865,-122.3917,1
37.5986,-122.3872,1
47.6847,-122.3848,1
47.6636,-122.3804,2
45.6452,-122.3789,1
47.8107,-122.3774,1
47.3037,-122.3744,1
47.6381,-122.3715,2
37.5671,-122.371,3
37.5841,-122.3661,1
41.5109,-122.3648,1
40.4458,-122.3548,1
47.6145,-122.348,1
37.9358,-122.3478,2
37.9622,-122.3455,2
47.6738,-122.3419,1
47.6103,-122.3341,3
48.4212,-122.3341,1
37.9809,-122.3332,1
47.5716,-122.3327,3
47.6062,-122.3321,11
47.6026,-122.3284,1
47.1015,-122.3272,1
37.563,-122.3255,4
41.3181,-122.3202,3
47.3078,-122.3177,1
47.8209,-122.3151,1
47.3824,-122.3138,1
47.3223,-122.3126,1
41.3099,-122.3106,1
47.7882,-122.3087,1
37.5081,-122.301,1
49.05,-122.3,1
37.9772,-122.2952,1
47.1854,-122.2929,2
47.6606,-122.2919,1
47.6854,-122.2872,2
47.4485,-122.281,1
37.7735,-122.2788,1
37.8716,-122.2728,6
47.5407,-122.2712,2
37.8044,-122.2708,8
37.8091,-122.2702,1
37.555,-122.2687,3
37.498,-122.2672,1
37.8345,-122.2647,1
47.3078,-122.2643,1
37.5072,-122.2605,1
37.8784,-122.2603,4
47.1278,-122.2534,1
47.7542,-122.2444,1
47.2032,-122.2404,3
37.4852,-122.2364,5
40.1785,-122.2358,1
37.8309,-122.2196,4
47.4829,-122.2171,1
37.4914,-122.211,5
38.1165,-122.2091,1
47.6815,-122.2087,1
47.7205,-122.2067,1
47.7948,-122.2054,1
47.7623,-122.2054,8
47.7477,-122.2044,1
47.3101,-122.2042,1
47.979,-122.2021,1
47.6104,-122.2007,23
47.3624,-122.1982,2
39.7474,-122.1964,1
47.8435,-122.1957,1
47.6727,-122.1873,2
47.9015,-122.1844,3
37.3762,-122.1826,20
37.8772,-122.1797,2
37.459,-122.1781,5
37.4178,-122.172,1
47.6201,-122.1653,1
47.7543,-122.1635,1
37.7249,-122.1561,2
38.5575,-122.1554,1
37.4429,-122.1514,1
48.0585,-122.1482,1
47.5527,-122.1479,1
37.4419,-122.143,2
47.6201,-122.1408,2
37.4135,-122.1312,2
47.674,-122.1215,2
47.6801,-122.1206,1
37.6293,-122.1163,1
47.4356,-122.1141,3
47.2875,-122.1094,2
37.4576,-122.1041,1
47.3618,-122.1033,1
37.8381,-122.1026,1
37.0448,-122.1021,1
37.3042,-122.0946,3
37.6745,-122.0883,2
37.3845,-122.0881,1
37.6688,-122.0808,4
37.9536,-122.078,1
37.9181,-122.0735,2
37.0513,-122.0733,1
45.2082,-122.0669,1
37.5963,-122.0657,1
37.9063,-122.065,1
37.2539,-122.0638,3
48.0151,-122.0637,1
36.9899,-122.0603,1
48.0431,-122.059,2
37.4192,-122.0574,7
39.2739,-122.0546,2
37.5297,-122.0402,3
38.2494,-122.04,5
37.3688,-122.0363,3
37.8502,-122.0322,1
37.978,-122.0311,1
36.9741,-122.0308,2
37.3537,-122.0307,1
37.9529,-122.0225,1
37.3697,-122.0214,3
37.5958,-122.0191,1
37.9137,-122.0117,1
38.2832,-122.0085,1
37.4249,-122.0074,3
37.3061,-122.002,1
37.8216,-122,1
37.2276,-121.99,5
37.5483,-121.9886,6
37.3501,-121.9854,1
37.567,-121.9829,1
37.7799,-121.978,1
37.9711,-121.96,4
37.5079,-121.9599,3
37.3541,-121.9552,13
37.3486,-121.951,1
37.2304,-121.9505,1
49.1667,-121.95,2
37.2872,-121.95,1
36.5815,-121.9464,1
37.425,-121.946,2
38.3507,-121.9326,2
37.2555,-121.9245,1
36.6177,-121.9166,2
37.4283,-121.9066,1
37.3874,-121.9024,13
36.9772,-121.8994,1
37.5155,-121.8962,3
37.3394,-121.895,15
37.2972,-121.8868,1
37.3422,-121.8833,2
37.0082,-121.8777,1
37.4404,-121.8705,1
36.6111,-121.8516,1
37.3502,-121.851,1
39.7285,-121.8375,7
39.901,-121.8306,2
36.6249,-121.8257,1
37.3013,-121.8079,1
47.5336,-121.7997,3
37.2267,-121.7864,1
37.4299,-121.7783,1
37.9668,-121.7662,1
38.5449,-121.7405,1
36.9512,-121.724,4
37.1894,-121.7053,1
37.9942,-121.6887,2
38.693,-121.6812,1
39.5051,-121.6765,1
36.6777,-121.6555,2
37.1305,-121.6544,1
38.6667,-121.6293,1
39.7596,-121.6219,1
39.1405,-121.6169,1
42.1851,-121.6141,1
39.5138,-121.5564,1
38.5137,-121.4979,1
38.6164,-121.4962,1
38.5816,-121.4944,22
38.5831,-121.4921,1
39.1587,-121.4726,1
38.5689,-121.4383,1
37.7375,-121.4258,2
37.7396,-121.4252,1
42.1988,-121.4061,1
38.4884,-121.4024,1
38.5856,-121.3777,1
38.6857,-121.3722,1
38.4088,-121.3716,1
38.7843,-121.3706,4
38.6821,-121.3482,1
38.4855,-121.3431,1
38.6262,-121.3248,1
37.9753,-121.3244,3
38.6932,-121.3116,2
37.9811,-121.308,1
38.5891,-121.3027,1
38.0267,-121.3012,1
37.9577,-121.2908,3
38.7521,-121.288,2
38.7071,-121.2811,2
38.7632,-121.2795,3
37.8227,-121.2766,1
38.1302,-121.2725,1
38.6446,-121.2722,2
38.6926,-121.269,1
