Zip Code,BYOC
75070,35
75025,31
75002,27
76051,27
76244,27
75126,26
75056,25
75067,25
76137,25
75087,23
75080,20
76021,20
75081,19
75098,19
76210,18
76017,16
76039,16
76065,16
76013,15
75007,14
75023,14
75024,14
75044,14
75074,14
75089,14
75287,14
75010,13
76262,13
77573,13
75048,12
75093,12
75252,12
76180,12
78666,12
74701,11
75006,11
75013,11
75035,11
75052,11
75063,11
76018,11
76201,11
75032,10
75034,10
75077,10
75234,10
76002,10
76053,10
76182,10
76248,10
76706,10
75075,9
75078,9
76092,9
76205,9
78249,9
87120,9
72703,8
72908,8
73008,8
73013,8
73071,8
74012,8
75062,8
75230,8
75454,8
76001,8
76012,8
76036,8
76040,8
76063,8
76107,8
76116,8
76207,8
76208,8
76209,8
77356,8
77386,8
78741,8
78745,8
75043,7
75060,7
75068,7
75069,7
75088,7
75229,7
75231,7
75248,7
75604,7
75605,7
76011,7
76179,7
76354,7
77657,7
78660,7
72903,6
75019,6
75028,6
75040,6
75050,6
75154,6
75201,6
75240,6
75409,6
76020,6
76034,6
76131,6
76133,6
76135,6
76148,6
76502,6
77077,6
77345,6
77546,6
77706,6
78705,6
79414,6
72901,5
73134,5
74006,5
75001,5
75082,5
75104,5
75189,5
75204,5
75205,5
75206,5
75220,5
75243,5
75254,5
75442,5
75703,5
76048,5
76052,5
76078,5
76110,5
76226,5
77043,5
77057,5
77381,5
77433,5
78130,5
78641,5
78681,5
78754,5
78759,5
79605,5
32246,4
36606,4
48423,4
60511,4
65810,4
70508,4
72956,4
73012,4
73025,4
74075,4
74136,4
75033,4
75039,4
75115,4
75149,4
75160,4
75209,4
75228,4
75645,4
76028,4
76087,4
76132,4
76140,4
76227,4
76712,4
77004,4
77006,4
77024,4
77354,4
77429,4
77511,4
77550,4
77581,4
77630,4
78410,4
78613,4
78640,4
78751,4
87801,4
27614,3
32507,3
39208,3
65203,3
65721,3
65804,3
68005,3
70506,3
70726,3
72701,3
72756,3
73103,3
73131,3
73401,3
73533,3
74074,3
74114,3
74133,3
75022,3
75041,3
75057,3
75071,3
75119,3
75137,3
75165,3
75166,3
75214,3
75215,3
75227,3
75428,3
76022,3
76054,3
76103,3
76108,3
76112,3
76177,3
76309,3
76310,3
77003,3
77056,3
77062,3
77095,3
77339,3
77380,3
77382,3
77396,3
77449,3
77450,3
77469,3
77477,3
77566,3
77840,3
78006,3
78028,3
78132,3
78230,3
78232,3
78240,3
78254,3
78258,3
78504,3
78665,3
78701,3
78704,3
78729,3
78739,3
78750,3
78753,3
78758,3
79416,3
79423,3
80014,3
80525,3
81301,3
94089,3
1754,2
6850,2
11742,2
12144,2
18702,2
19446,2
21060,2
22150,2
22153,2
22191,2
23665,2
27514,2
27597,2
28115,2
28681,2
30062,2
30144,2
32751,2
33125,2
35133,2
37066,2
39209,2
40220,2
41144,2
46123,2
46714,2
46815,2
46825,2
48324,2
50613,2
52001,2
53089,2
55112,2
55309,2
55313,2
55391,2
62034,2
63021,2
63901,2
64118,2
65738,2
65809,2
66210,2
67206,2
67207,2
67218,2
70346,2
70560,2
71106,2
72032,2
72205,2
72210,2
72704,2
72712,2
72744,2
72745,2
72758,2
72762,2
72830,2
73003,2
73068,2
73069,2
73112,2
73160,2
73170,2
73505,2
74014,2
74055,2
74104,2
74135,2
74146,2
74741,2
74760,2
74849,2
75042,2
75054,2
75061,2
75156,2
75161,2
75208,2
75225,2
75238,2
75244,2
75249,2
75402,2
75452,2
75482,2
75707,2
75771,2
75801,2
75964,2
76049,2
76082,2
76084,2
76102,2
76109,2
76111,2
76115,2
76234,2
76240,2
76273,2
76308,2
76401,2
76446,2
77005,2
77015,2
77041,2
77047,2
77071,2
77079,2
77083,2
77090,2
77377,2
77379,2
77389,2
77459,2
77504,2
77539,2
77578,2
77584,2
77586,2
77642,2
77905,2
78064,2
78233,2
78238,2
78253,2
78260,2
78539,2
78634,2
78728,2
78731,2
78737,2
78748,2
78757,2
79118,2
79346,2
79412,2
79707,2
80202,2
81302,2
85027,2
86004,2
86005,2
87114,2
94158,2
94521,2
96002,2
97070,2
98360,2
98391,2
917,1
927,1
995,1
1001,1
1085,1
2108,1
2116,1
2135,1
2139,1
2664,1
2720,1
3064,1
4062,1
6002,1
6340,1
6450,1
7054,1
7065,1
7087,1
7502,1
7722,1
8757,1
10014,1
10457,1
10462,1
10901,1
11021,1
11429,1
11596,1
12345,1
14145,1
14512,1
14620,1
15108,1
15220,1
15431,1
15666,1
17050,1
17329,1
18040,1
18969,1
19330,1
19428,1
20120,1
20169,1
20653,1
20705,1
20783,1
21231,1
21409,1
22003,1
22304,1
22305,1
22312,1
22903,1
23511,1
24060,1
27606,1
27616,1
27858,1
28117,1
28205,1
28227,1
28277,1
28460,1
28625,1
28654,1
29407,1
29511,1
29591,1
29609,1
29732,1
30040,1
30066,1
30078,1
30080,1
30096,1
30102,1
30115,1
30269,1
30306,1
30318,1
30363,1
30471,1
30518,1
32303,1
32317,1
32713,1
32733,1
32746,1
32766,1
32940,1
33030,1
33067,1
33068,1
33143,1
33166,1
33487,1
33543,1
33559,1
33647,1
33761,1
33812,1
34741,1
34758,1
35173,1
35802,1
37034,1
37174,1
37203,1
37663,1
37917,1
38002,1
38134,1
39437,1
39479,1
39540,1
39759,1
39773,1
40223,1
41095,1
42071,1
42442,1
43016,1
43026,1
43315,1
43338,1
44028,1
44035,1
44143,1
44241,1
44721,1
45065,1
45211,1
45239,1
45840,1
46140,1
46409,1
46706,1
46781,1
48038,1
48044,1
48706,1
48801,1
49004,1
49036,1
49127,1
49307,1
49338,1
49346,1
49525,1
49696,1
50010,1
50014,1
50022,1
50226,1
50401,1
50602,1
50701,1
50703,1
51105,1
52245,1
52317,1
52318,1
52627,1
53172,1
53188,1
53211,1
53223,1
53546,1
53711,1
53719,1
54449,1
55044,1
55122,1
55403,1
55414,1
55423,1
55426,1
55435,1
56001,1
