event_id,num,age,year,name,location_id,start_date,end_date
qtest1996,0,0,1996,QTest (at id HQ),idcube,1996-02-18,1996-02-18
quakecon1996,1,0,1996,#quakeCon '96,bestwestern,1996-08-15,1996-08-18
quakecon1997,2,1,1997,QuakeCon 1997,holidayinn,1997-07-16,1997-07-20
quakecon1998,3,2,1998,QuakeCon 1998 CPL Event,infomart,1998-07-23,1998-07-26
quakecon1999,4,3,1999,QuakeCon 1999,hampton,1999-08-05,1999-08-08
quakecon2000,5,4,2000,QuakeCon 2000,hampton,2000-08-03,2000-08-06
quakecon2001,6,5,2001,QuakeCon 2001,hampton,2001-08-09,2001-08-12
quakecon2002,7,6,2002,QuakeCon 2002,hampton,2002-08-15,2002-08-18
quakecon2003,8,7,2003,QuakeCon 2003,adamsmark,2003-08-14,2003-08-17
quakecon2004,9,8,2004,QuakeCon 2004,gaylord,2004-08-12,2004-08-15
quakecon2005,10,9,2005,QuakeCon 2005,gaylord,2005-08-11,2005-08-14
quakecon2006,11,10,2006,QuakeCon 2006,anatole,2006-08-03,2006-08-06
quakecon2007,12,11,2007,QuakeCon 2007,anatole,2007-08-02,2007-08-05
quakecon2008,13,12,2008,QuakeCon 2008,anatole,2008-07-31,2008-08-03
quakecon2009,14,13,2009,QuakeCon 2009,gaylord,2009-08-13,2009-08-16
quakecon2010,15,14,2010,QuakeCon 2010,anatole,2010-08-12,2010-08-15
quakecon2011,16,15,2011,QuakeCon 2011,anatole,2011-08-04,2011-08-07
quakecon2012,17,16,2012,QuakeCon 2012,anatole,2012-08-02,2012-08-05
quakecon2013,18,17,2013,QuakeCon 2013,anatole,2013-08-01,2013-08-04
quakecon2014,19,18,2014,QuakeCon 2014,anatole,2014-07-17,2014-07-20
quakecon2015,20,19,2015,QuakeCon 2015,anatole,2015-07-23,2015-07-26
quakecon2016,21,20,2016,QuakeCon 2016,anatole,2016-08-04,2016-08-07
quakecon2017,22,21,2017,QuakeCon 2017,gaylord,2017-08-24,2017-08-27
quakecon2018,23,22,2018,QuakeCon 2018,gaylord,2017-08-09,2017-08-12
