event_id,name,start_date,end_date
sharkweek1995,Shark Week 1995,1995-08-13,1995-08-19
sharkweek1996,Shark Week 1996,1996-08-11,1996-08-17
sharkweek1997,Shark Week 1997,1997-08-10,1997-08-16
sharkweek1998,Shark Week 1998,1998-08-09,1998-08-15
sharkweek1999,Shark Week 1999,1999-08-08,1999-08-14
sharkweek2000,Shark Week 2000,2000-08-13,2000-08-19
sharkweek2001,Shark Week 2001,2001-08-12,2001-08-18
sharkweek2002,Shark Week 2002,2002-08-11,2002-08-17
sharkweek2003,Shark Week 2003,2003-08-10,2003-08-16
sharkweek2004,Shark Week 2004,2004-07-25,2004-07-31
sharkweek2005,Shark Week 2005,2005-07-17,2005-07-23
sharkweek2006,Shark Week 2006,2006-07-30,2006-08-05
sharkweek2007,Shark Week 2007,2007-07-29,2007-08-04
sharkweek2008,Shark Week 2008,2008-07-27,2008-08-01
sharkweek2009,Shark Week 2009,2009-08-02,2009-08-08
sharkweek2010,Shark Week 2010,2010-08-01,2010-08-07
sharkweek2011,Shark Week 2011,2011-07-31,2011-08-06
sharkweek2012,Shark Week 2012,2012-08-12,2012-08-18
sharkweek2013,Shark Week 2013,2013-08-04,2013-08-10
sharkweek2014,Shark Week 2014,2014-08-10,2014-08-16
sharkweek2015,Shark Week 2015,2015-07-05,2015-07-12
